ROW,C1,C2,C3
0,"tab:variety",,
1,"Creating Varieties",,
1,"\verb'-label_txt' "," label "," Specify an ASCII label for the variety. "
1,"\verb'-label_tex' "," label "," Specify a tex label for the variety. "
1,"\verb'-projective_space' "," $P$ "," Specify the underlying projective space. "
1,"\verb'-ring' "," $R$ "," Specify the underlying polynomial ring. "
1,"\verb'-equation_in_algebraic_form' "," eqn "," The defining equation in algebraic form. "
1,"\verb'-set_parameters' "," label lable\_tex parameter\_values "," Set parameter values for the equation given in algebraic form. "
1,"\verb'-equation_by_coefficients' "," eqn "," The defining equation is given as a list of coefficients in the chosen ordering of monomials. "
1,"\verb'-equation_by_rank' "," rank "," The defining equation is given as orbiter rank of a projective point. "
1,"\verb'-points' "," pts "," The set of $\bbF_q$-rational points (optional). "
1,"\verb'-bitangents' "," lines "," A set of lines (optional). "
1,"\verb'-compute_lines' "," "," Compute the lines. "
1,"\verb'-transform' "," element "," Apply the transformation by the given group element. "
1,"\verb'-transform_inverse' "," element "," Apply the inverse transformation by the given group element. "
END
1,"\verb'-second_equation_in_algebraic_form' "," eqn "," An optional secondary defining equation in algebraic form. "
1,"\verb'-second_equation_by_coefficients' "," eqn "," An optional secondary defining equation as a list of coefficients in the chosen ordering of monomials. "
